"Action","Tegevus"
"All types","All types"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","Backup file doesn't exist"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","Varukoopiad"
"Cannot read backup file","Varukoopiafaili lugemine ebaõnnestus"
"Create Backup","Tee varukoopia"
"DB","Andmebaas"
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","Lae arvutisse"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","File compressed with Zlib, but this extension is not installed on server"
"Size, byte","Suurus, baitides"
"Time","Aeg"
"Type","Tüüp"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Wrong order of creation for new backup","Wrong order of creation for new backup"
