"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Luba kogus alla 0"
"Allow Qty Below 0 and Notify Customer","Luba kogus alla 0 ja teavita klienti"
"Backorders","Backorders"
"By Fixed value","Fikseeritud väärtuse järgi"
"By Percentage","Protsendi järgi"
"Can not specify product identifier for order item","Can not specify product identifier for order item"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Vähenda ladu kui tellimus on tehtud"
"In Stock","Laos"
"Inventory","Laoseis"
"Inventory API","Lao API"
"Inventory Section","Inventory Section"
"Manage Stock","Halda laoseisu"
"Maximum Qty Allowed in Shopping Cart","Ostukorvis lubatud maksimaalne kogus"
"Minimum Qty Allowed in Shopping Cart","Ostukorvis lubatud minimaalne kogus"
"No Backorders","No Backorders"
"Notify for Quantity Below","Teavita allpool olevale koguse korral"
"Out of Stock","Laost otsas"
"Product Stock Options","Tootepõhised laoseaded"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Reegli hind"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Osad tooted on laost otsas"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Lao valikud"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","Maksimaalne lubatud kogus on %s."
"The minimum quantity allowed for purchase is %s.","Minimaalne lubatud kogus on %s."
"The requested quantity for ""%s"" is not available.","Soovitud kogust ""%s"" ei ole saadaval"
"The requested quantity is not available.","Soovitud kogust ei ole saadaval"
"This product is currently out of stock.","Toode on hetkel laost otsas."
"To Fixed Value","Fikseeritud väärtuse juurde"
"To Percentage","Protsendi juurde"
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","Uuenda toodet"
