"Actions","Tegevused"
"Active","Aktiivne"
"Add New Rule","Lisa uus reegel"
"Apply Rules","Rakenda reeglid"
"Attribute Set","Atribuudikogum"
"Catalog","Kataloog"
"Catalog Price Rule","Kataloogi hinna reegel"
"Catalog Price Rules","Kataloogi hinnareeglid"
"Category","Kategooria"
"Comments History","Comments History"
"Conditions","Tingimused"
"Conditions (leave blank for all products)","Tingimused (jäta tühjaks kõikide toodete puhul)"
"Conditions Combination","Tingimuste kombinatsioon"
"Credit Memos","Credit Memos"
"Customer Groups","Kliendigrupid"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Customer registered: %s","Customer registered: %s"
"Date Expire","Kehtivuse lõpp"
"Date From","Kuupäev alates"
"Date Start","Kehtivuse algus"
"Date To","Kuupäev kuni"
"Delete Rule","Kustuta reegel"
"Description","Kirjeldus"
"Description: %s","Kirjeldus: %"
"Edit Rule","Muuda reeglid"
"Edit Rule '%s'","Muuda reeglit '%'"
"Expire at: %s","Expire at: %s"
"From Date","Alates kuupäevast"
"General Information","Üldinfo"
"Gift Messages","Gift Messages"
"ID","ID"
"Inactive","Mitteaktiivne"
"Invoices","Invoices"
"NOT LOGGED IN","EI OLE SISSE LOGITUD"
"Name: %s","Nimi: %s"
"New Rule","Uus reegel"
"No","Ei"
"Options","Valikud"
"Order Credit Memos","Order Credit Memos"
"Order Gift Messages","Order Gift Messages"
"Order History","Order History"
"Order Invoices","Order Invoices"
"Order Shipments","Order Shipments"
"Priority","Prioriteet"
"Product Attribute","Toote atribuut"
"Promotions","Turundusvahendid"
"Rule Information","Reegli informatsioon"
"Rule Name","Reegli nimi"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule was successfully saved","Rule was successfully saved"
"Rules were successfully applied","Rules were successfully applied"
"Save Rule","Salvesta reegel"
"Save and Apply","Salvesta ja rakenda"
"Shipments","Shipments"
"Start at: %s","Alusta: %"
"Status","Staatus"
"Stop further rules processing","Lõpeta edasine reeglite töötlemine"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","This rule no longer exists"
"To Date","Kuni kuupäevani"
"Unable to apply rules","Unable to apply rules"
"Unable to find a page to delete","Unable to find a page to delete"
"Update product's %s %s: %s","Uuenda toote %s %s: %s"
"Websites","Veebisaidid"
"Yes","Jah"
