"%s and greater","%s ja suuremad"
"Advanced Search","Täppisotsing"
"All","Kõik"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Kasuta tootefiltrit kui otsingutulemusi on vähem kui"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Autogenerated site map"
"Catalog Advanced Search","Kataloogi täppisotsing"
"Catalog Search","Otsing kataloogist"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Go to Home Page","Mine avalehele"
"Grid","Tabel"
"Home","Avaleht"
"List","Nimekiri"
"Maximum Query Length","Pikim lubatud päring"
"Maximum Query Words Count","Suurim sõnade arv päringus"
"Maximum Search query  length is %s. Your query was cut.","Pikim lubatud otsing on %s sümbolit. Päring lühendati."
"Minimal Query Length","Lühim lubatud päring"
"Modify your search","Muuda oma otsingut"
"No","Ei"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Enimkasutatud sõnad otsingutes"
"Popular search terms","Popular search terms"
"Relevance","Olulisus"
"Required Fields","Kohustuslikud väljad"
"Results","Tulemused"
"Search","Otsi"
"Search Settings","Otsingu seaded"
"Search Site","Search Site"
"Search Terms","Märksõnad"
"Search Type","Otsingu tüüp"
"Search entire store here...","Otsi kogu poest..."
"Search results for '%s'","Otsingu '%s' tulemused"
"Search results for: '%s'","Otsingu: '%s' tulemused"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","Otsingu tingimused ei ole võimalikud"
"Yes","Jah"
"You have to specify at least one search term","You have to specify at least one search term"
"Your search returns no results.","Teie otsingul ei olnud tulemusi."
"up to %s","kuni %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Täppisotsing"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
