"* Required Fields","* Vajalikud väljad"
"Comment","Kommentaar"
"Contact Form","Kontakti vorm"
"Contact Information","Kontaktandmed"
"Contact Us","Võta ühendust"
"Contacts","Kontaktid"
"Contacts Section","Contacts Section"
"Email","E-posti aadress"
"Email Options","E-kirja valikud"
"Email Sender","E-kirja saatja"
"Email Template","E-posti põhi"
"Enable Contact Us","Võimalda meiega ühenduse võtmine"
"Name","Nimi"
"Send Emails To","Saada e-kirjad aadressile"
"Submit","Saada"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Teie soovi ei saa esitada. Palun proovige hiljem uuesti"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Teie päring on edastatud ja sellele vastatakse niipea kui võimalik. Täname huvi eest."
"Contact Us","Võta ühendust"
"Contact Information","Kontaktandmed"
"Name","Name"
"Email","Email"
"Telephone","Telephone"
"Comment","Comment"
"* Required Fields","* Required Fields"
