"%s already exist","%s already exist"
"%s already exists","%s already exists"
"-- Please Select --","-- Vali --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Lisa URL-le salajane võti"
"Add Store Code to Urls","Lisa poekood URL-le"
"Admin","Admin"
"Admin Base URL","Haldusliidese baasURL"
"Admin User Emails","Administraatori e-posti seaded"
"Advanced","Üksikasjalikumalt"
"Allow countries","Lubatud riigid"
"Allowed IPs (comma separated)","Lubatud IP-d (eraldatud komaga)"
"Are you sure?","Olete Te kindel?"
"Back","Tagasi"
"Backup options","Varukoopia valikud"
"Base JavaScript URL","Baas JavaScript URL"
"Base Link URL","Baas link URL"
"Base Media URL","Baas media URL"
"Base Skin URL","Baas Skin URL"
"Base URL","Baas URL"
"Before modifying the store view code please make sure that it is not used in index.php","Enne vaatetunnuse muutmist kontrollige ega seda ei kasutata index.php-s."
"Before modifying the website code please make sure that it is not used in index.php","Enne poetunnuse muutmist kontrollige ega seda ei kasutata index.php-s"
"Block with name ""%s"" already exists","Plokk nimega ""%s"" on juba olemas"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","Ei saa tõmmata nõude objekti"
"Can't retrieve entity config: %s","Can't retrieve entity config: %s"
"Cancel","Katkesta"
"Cannot Delete Email Template","Cannot Delete Email Template"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","Tunnus"
"Collections Data","Collections Data"
"Configuration","Seaded"
"Controller file was loaded but class does not exist","Kontroller faili laaditi kuid klassi ei eksisteeri"
"Cookie Domain","Cookie domeen"
"Cookie Lifetime","Cookie eluiga"
"Cookie Path","Cookie tee"
"Copyright","Omandiõigused"
"Countries options","Riigivalikud"
"Create Store","Loo pood"
"Create Store View","Loo poe vaade"
"Create Website","Loo veebisait"
"Current package name","Current package name"
"Custom Design","Individuaalne disain"
"Custom admin URL","Custom admin URL"
"Custom email 1","Custom email 1"
"Custom email 2","Custom email 2"
"Customer support","Customer support"
"Date From","Kuupäeva alates"
"Date To","Kuupäev kuni"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default","Vaikimisi"
"Default Description","Default Description"
"Default Keywords","Vaikimisi võtmesõnad"
"Default Pages","Vaikimis lehed"
"Default Robots","Vaikimisi reeglid robotitele"
"Default Store","Vaikimisi pood"
"Default Store View","Vaikimisi poe vaade"
"Default Title","Vaikimsi tiitelriba"
"Default country","Vaikeriik"
"Default no-route url","Default no-route url"
"Default web url","Default web url"
"Delete","Kustuta"
"Delete Store","Kustuta pood"
"Delete Store View","Kustuta poe vaade"
"Delete Website","Kustuta veebisait"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Kujundus"
"Design Change","Disaini muutus"
"Developer","Arendaja"
"Developer Client Restrictions","Arendaja kliendi piirangud"
"Disable email communications","Disable email communications"
"Disable modules output","Keela moodulite väljund"
"Duplicate Of Template Code","Duplicate Of Template Code"
"Edit Design Change","Muuda disaini muudatust"
"Edit Store","Muuda poodi"
"Edit Store View","Muuda poe vaadet"
"Edit Website","Muuda veebisaiti"
"Empty identifier field name","Tühi identifikaatori välja nimi"
"Empty main table name","Tühi põhitabeli nimi"
"Enabled","Lubatud"
"Enabled for Admin","Lubatud haldusliidesele"
"Enabled for Frontend","Lubatud poeliidesele"
"Error in file: ""%s"" - %s","Viga failis: ""%s"" - %s"
"Error while saving. Please try again later.","Error while saving. Please try again later."
"Error: Passwords do not match","Viga: salasõnad on erinevad"
"Exceptions Log File Name","Vealogi faili nimi"
"First Day of Week","Nädala esimene päev"
"Footer","Jalus"
"Forgot Password Email Sender","Salasõna meenutuse saatja"
"Forgot Password Email Template","Salasõna meenutuse põhi"
"General","Üldine"
"General Settings","Üldseaded"
"General contact","Üldkontakt"
"Global","Globaalne"
"HTML Head","HTML-i parameetrid"
"Header","Päis"
"Host","Host"
"Id path for specified store","Id path for specified store"
"Incorrect credit card expiration date","Vigane krediitkaardi aegumise kuupäev"
"Invalid base url type","Kehtetu baas url tüüp"
"Invalid block name to set child %s: %s","Kehtetu ploki nimi seadmaks alltaset %s: %s"
"Invalid block type: %s","Kehtetu ploki tüüp: %s"
"Invalid block: %s","Kehtetu plokk: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Invalid layout update argument, expected Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Kehtetu kujunduse uuenduse käsitlemine"
"Invalid messages storage ""%s"" for layout messages initialization","Kehtetus sõnumi hoidla ""%s"" kujunduse sõnumite initsieerimiseks."
"Invalid transactional email code: ","Kehtetu transaktsiooni e-kirja kood"
"Invalid websites configuration path: %s","Invalid websites configuration path: %s"
"Layout","Paigutus"
"Layouts","Paigutused"
"Leave empty for access from any location","Leave empty for access from any location"
