"-- Please select --","-- Vali --"
"Allowed currencies","Lubatud valuutad"
"Base currency","Baasvaluuta"
"Cannot retrieve rate from %s","Cannot retrieve rate from %s"
"Connection timeout in seconds","Ühenduse aegumine sekundites"
"Continue &raquo;","Jätka &raquo;"
"Country","Riik"
"Country Api","Riigi API"
"Country and Format Type combination should be unique","Riigi ja formaadi tüübi kombinatsioon peavad olema unikaalsed"
"Currency","Valuuta"
"Currency Options","Valuuta valikud"
"Currency Setup","Valuuta seadistamine"
"Currency Update Warnings","Valuuta uuendamise hoiatused"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default display currency","Vaikimisi kuvatav valuuta"
"Directory","Directory"
"Enabled","Lubatud  "
"Error Email Recipient","Vea e-kirja saaja"
"Error Email Sender","Vea e-kirja saatja"
"Error Email Template","Vea e-kirja mall"
"FATAL ERROR:","FATAALNE VIGA:"
"Frequency","Sagedus"
"Installed Currencies","Installeeritud valuutad"
"Invalid Import Service Specified","Invalid Import Service Specified"
"Invalid country code: %s","Kehtetu riigi kood: %s"
"Invalid rates received","Saadud kehtetud kursid"
"Invalid target currency","Invalid target currency"
"List of countries","Riikide valik"
"List of regions in specified country","List of regions in specified country"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","Valuuta sümbol pole tühikuga eraldatud"
"Scheduled Import Settings","Ajastatud impordi seaded"
"Select Your Currency","Vali oma valuuta"
"Service","Teenus"
"Start Time","Alguse kuupäev"
"State/Province","Maakond"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Unable to initialize import model"
"Undefined rate from ""%s-%s""","Undefined rate from ""%s-%s"""
"WARNING:","HOIATUS:"
"Webservicex","Webservicex"
"Your current currency is: %s","Teie praegune valuuta on: %s"
