"* Select shipping method","* Select shipping method"
"AVS Status: %s","AVS staatus: %s"
"Add","Add"
"Add Shipping Method","Add Shipping Method"
"Allowed Methods","Allowed Methods"
"Amount: %s","Summa: %s"
"Auto-generated from GoogleCheckout Charge","Automaatselt genereeritud GoogleCheckout Charge poolt"
"Buyer account age: %s days","Buyer account age: %s days"
"CC Partial: xxxx-%s","CC Partial: xxxx-%s"
"CID Status: %s","CID staatus: %s"
"Carrier Calculated Methods","Carrier Calculated Methods"
"Cart Discount","Ostukorvi allahindlus"
"Checkout Image Style","Maksmise pildi stiil"
"Continue Shopping URL","Jätka ostlemist URL"
"Debug","Debug"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Default price for methods","Default price for methods"
"Default price:","Vaikmisi hind:"
"Delivery Address Category","Delivery Address Category"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Eligible for protection: %s","Eligible for protection: %s"
"Enable","Luba"
"Enable Carrier Calculated","Enable Carrier Calculated"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Expiration: %s","Aegub: %s"
"Financial: %s -> %s","Finantsiline: %s -> %s"
"Free Shipping","Free Shipping"
"Fulfillment: %s -> %s","Täitmine: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google autoriseerimine:"
"Google Buyer Id: %s","Google Buyer Id: %s"
"Google Charge:","Google tariif:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout kohaletoimetamine - vedaja arvutatud"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Flat Rate","Google Checkout kohaletoimetatud - fikseeritud hind"
"Google Checkout Shipping - Merchant Calculated","Google Checkout kohaletoimetamine - kaupmees arvutatud"
"Google Checkout: %s","Google maksmine: %s"
"Google Order Number: %s","Google tellimuse number: %s"
"Google Refund:","Google tagastamine:"
"Google Risk Information:","Google riski informatsioon:"
"Google order status change:","Google order status change:"
"Hide Cart Contents During Checkout","Hide Cart Contents During Checkout"
"IP Address: %s","IP aadress: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Invoice auto-created: %s","Invoice auto-created: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Large - %s","Large - %s"
"Latest Charge: %s","Viimane tasumine: %s"
"Latest Refund: %s","Viimane tagastamine: %s"
"Location","Asukoht"
"Medium - %s","Medium - %s"
"Merchant ID","Kaupmehe ID"
"Merchant Key","Kaupmehe võti"
"Method","Method"
"New order status","Uue tellimuse staatus"
"No","No"
"Optional, leave empty for home page.","Valikuline, jäta tühjaks avalehel"
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Remove","Remove"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Sandbox","Liivakast"
"Secure Callback URL","Secure Callback URL"
"Small - %s","Small - %s"
"Total Charged: %s","Kokku tasutud: %s"
"Total Refunded: %s","Kokku tagastatud: %s"
"Transparent","Transparent"
"United Kingdom","United Kingdom"
"United States","United States"
"Virtual item to reflect discount total","Virtuaalne toode väljendamaks kogu allahindlust"
"White Background","White Background"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to GoogleCheckout in a few seconds."
