"%s Item(s)","%s Item(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento näidispood. Kõik õigused kaitstud."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"About the calendar","About the calendar"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Sulge"
"Close Window","Sulge aken"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Date selection:"
"Default Description","Vaikimisi kirjeldus"
"Default welcome msg!","Tervitussõnum!"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","Aita Magentot paremaks teha"
"Interface Language","Liidese keel"
"Items %s to %s of %s total","Tooted %s kuni %s koguarvust %s"
"Next Page","Next Page"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","Lehekülg:"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","Previous Page"
"Redirecting...","Redirecting..."
"Report All Bugs","Teavita leitud vigadest"
"Select Store","Vali pood"
"Select date","Select date"
"Show","Näita"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","Skip to Main Content"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","See on demo pood. Tehtud tellimusi ei arvestata ega täideta."
"Time selection:","Time selection:"
"Time:","Time:"
"Welcome, %s!","Tere, %s!"
"You're currently on:","You're currently on:"
"Your Language","Teie keel"
"Your Language:","Your Language:"
"per page","lehekülje kohta"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Aita Magentot paremaks teha"
"Report All Bugs","Teavita leitud vigadest"
"Your Language","Your Language"
