"API Login ID","API Login ID"
"Authorize Only","Authorize Only"
"Authorize and Capture","Autoriseeri ja võta valdusesse"
"Authorize.net","Authorize.net"
"Credit Card Types","Krediitkaardi tüübid"
"Credit Card Verification","Credit Card Verification"
"Debug","Debug"
"Email customer","Email customer"
"Enabled","Lubatud"
"Error in authorizing the payment","Error in authorizing the payment"
"Error in capturing the payment","Error in capturing the payment"
"Error in payment gateway","Error in payment gateway"
"Error in refunding the payment","Error in refunding the payment"
"Error in refunding the payment.","Viga makse tagastamisel."
"Error in retrieving the transaction","Error in retrieving the transaction"
"Fraud order status","Fraud order status"
"Gateway request error: %s","Gateway request error: %s"
"Invalid amount for authorization","Invalid amount for authorization"
"Invalid amount for authorization.","Autoriseerimiseks kehtetu summa."
"Invalid transaction id","Invalid transaction id"
"Maximum Order Total","Maximum Order Total"
"Merchant Login","Merchant Login"
"Merchant's email","Merchant's email"
"Minimum Order Total","Vähim lubatud tellimus"
"New order status","Uue tellimuse staatus"
"Partner","Partner"
"Password","Password"
"Payflow Pro","Payflow Pro"
"Payment Action","Makse tegevus"
"Payment authorization error.","Makse autoriseerimise viga."
"Payment authorization transaction has been declined.","Makse autoriseerimine on tagasi lükatud."
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","Sort order"
"TENDER","TENDER"
"Test mode","Test mode"
"Title","Nimetus"
"Transaction key","Transaction key"
"URL","URL"
"Use Proxy","Use Proxy"
"User","User"
"VERBOSITY","VERBOSITY"
"Voided transaction","Voided transaction"
