"Abandoned carts","Mahajäetud ostukorvid"
"Action","Action"
"Add to Cart","Lisa ostukorvi"
"Add to Compare","Lisa võrdlusesse"
"Add to Wishlist","Lisa soovikorvi"
"Applied Coupon","Rakenda kupongi"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Bestsellerid"
"Bought from wishlists","Ostetud soovikorvist"
"CSV","CSV"
"Carrier/Method","Carrier/Method"
"Carts","Ostukorvid"
"Coupons","Kupongid"
"Created at","Created at"
"Customer","Klient "
"Customer Name","Kliendi nimi"
"Customer Tags","Kliendi märksõnad"
"Customers","Kliendid"
"Customers Report","Klientide raportid"
"Customers Reviews","Klientide kommentaarid"
"Customers Tags","Klientide märksõnad"
"Customers by number of orders","Kliendid tellimuste arvu järgi"
"Customers by orders total","Kliendid tellimuste summa järgi"
"Customers that have wishlist: %s%","Kliendid kellel on soovikorv: %s%"
"Day","Päev"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","Detail"
"Discounts","Discounts"
"Downloads","Downloads"
"Email","E-posti aadress"
"Excel","Excel"
"First Name","Eesnimi"
"Guest","Külaline"
"Hits","Hitid"
"ID","ID"
"Invalid date specified","Invalid date specified"
"Invoiced","Arve esitatud"
"Items Ordered","Items Ordered"
"Items in Cart","Tooteid ostukorvis"
"Last Name","Perekonnanimi"
"Last Review","Viimane kommentaar"
"Link","Link"
"Low stock","Madal laoseis"
"Month","Kuu"
"Most Viewed","Enimvaadatud"
"Most viewed","Most viewed"
"Name","Nimi"
"New Accounts","Uued kontod"
"Number Added","Lisatute arv"
"Number Fulfilled","Täidetute arv"
"Number Of Historical Uses","Number Of Historical Uses"
"Number Of Reviews","Kommentaaride arv"
"Number Of Uses","Number Of Uses"
"Number Purchased","Ostmiste arv"
"Number Viewed","Vaatamiste arv"
"Number of Items","Toodete arv"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of New Accounts","Uute kontode arv"
"Number of Orders","Number of Orders"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","Kommentaaride arv"
"Number of Total Tags","Märksõnade koguarv"
"Number of Unique Tags","Unikaalsete märksõnade arv"
"Number of Views","Vaatamiste arv"
"Number of items bought from a wishlist: %s","Soovkorvist ostetud toodete arv: %s"
"Number of times deleted","Number of times deleted"
"Number of times wishlists have been shared (emailed): %s","Soovikorvi jagamise (E-kiriitamiste) arv: %s"
"Number of wishlist conversions: %s","Soovikorvi konversiooni arve: %s"
"Number of wishlist referrals: %s","Soovikorvi viidete arv: %s"
"Number of wishlists: %s","Soovikorvide arv: %s"
"Offline Refunded","Offline Refunded"
"Online Refunded","Online Refunded"
"Orders","Tellimused"
"Out of stock","Ei ole laos"
"Poducts Report","Toodete raport"
"Popular Tags","Populaarsed märksõnad"
"Popularity","Populaarsus"
"Price","Hind"
"Product Name","Toote nimi"
"Product Reviews","Toote kommentaarid"
"Product Sku","Product Sku"
"Product Tags","Toote märksõnad"
"Products","Tooted"
"Products Report","Toodete raportid"
"Products Reviews","Toodete kommentaarid"
"Products Sold","Products Sold"
"Products Tags","Toodete märksõnad"
"Products in carts","Tooted ostukorvis"
"Purchases","Purchases"
"Quantity Ordered","Tellimuste kogused"
"Quantity of Items","Toodete kogused"
"Rate","Rate"
"Recently Compared Products","Viimati võrreldud tooted"
"Recently Viewed Products","Viimati vaadatud tooted"
"Recently Viewed/Compared Products","Viimati vaadatud/võrreldud tooted"
"Refunded","Refunded"
"Reports","Raportid"
"Results","Resultaadid"
"Revenue","Käive"
"Review","Kommentaar "
"Reviews","Kommentaarid"
"Reviews for %s","Reviews for %s"
"Sales","Müük"
"Sales Report","Müügiaruanne"
"Search Terms","Populaarsemad otsingud"
"Shipping","Tarnimine"
"Shopping Cart","Ostukorv "
"Show for Current","Näita praegust"
"Stock Qty","Laokogus"
"Submitted In","Kuskohast esitatud"
"Submitted On","Millal esitatud"
"Subtotal","Vahesumma"
"Tag","Märksõna"
"Tag ""%s"" details","Tag ""%s"" details"
"Tag Detail","Märksõna detail"
"Tag Name","Märksõna nimi"
"Tag use","Tag use"
"Tags submited by %s","Tags submited by %s"
"Tags submitted to %s","Märksõnad esitatud %s"
"Tax","Maksud"
"Tax Amount","Tax Amount"
"Title","Nimetus"
"Total","Kokku"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Refunded","Total Refunded"
"Total Shipping","Total Shipping"
"Total Tags","Kokku märksõnu"
"Total invoiced","Kokku arveid esitatud"
"Total refunded","Kokku tagastatud"
"Updated at","Updated at"
"Visible In","Nähtav:"
"Wishlist Report","Soovikorvi raport"
"Wishlist vs. Regular Order","Soovikorv vs tavaline tellimus"
"Wishlists","Soovikorvid"
"Year","Year"
"Your Recently Compared","Olete viimati võrrelnud"
"Your Recently Viewed","Olete viimati vaadanud"
