"ALL","KÕIK"
"ANY","MÕNED"
"Add","Lisa"
"Apply","Rakenda"
"Description: %s","Kirjeldus: %s"
"Expire at: %s","Aegumise aeg: %s"
"FALSE","VALE"
"If %s of these conditions are %s:","Kui %s nendest tingimustest on %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Nimi: %s"
"Open Chooser","Ava valija"
"Perform following actions","Teosta järgmised tegevused"
"Please choose a condition to add...","Vali tingimus..."
"Please choose an action to add...","Palun vali tegevus mida lisada..."
"Remove","Eemalda"
"Start at: %s","Alustamise aeg: %s"
"TRUE","TÕESED"
"by","by"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","to"
