" The customer doesn't exist in the system anymore"," The customer doesn't exist in the system anymore"
"""%s"" coupon code is not valid.","""%s"" kupongi kood ei kehti."
"%s / %s rate:","%s / %s kurss:"
"%s for %s","%s for %s"
"%s order(s) successfully canceled","%s tellimus(t) tühistatud"
"%s order(s) successfully put on hold","%s tellimus(t) on ootele pandud"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"About This Order:","Sellest tellimusest:"
"About Your Order","Teie tellimusest"
"Account Information","Kontoinfo"
"Action","Tegevus"
"Actions","Tegevused"
"Add","Lisa"
"Add Gift Messsage","Lisa kingile sõnum"
"Add New Address","Lisa aadress"
"Add Order Comments","Lisa tellimuse kommentaarid"
"Add Products","Lisa toode"
"Add Selected Product(s) to Option","Add Selected Product(s) to Option"
"Add Selected Product(s) to Order","Lisa valitud tooted tellimusele"
"Add To Order","Lisa tellimusele"
"Add Tracking Number","Lisa jälgimisnumber"
"Add a gift message for <strong>each gift item</strong>","Lisa kingituse sõnum <strong>igale kingitusele</strong>"
"Add a gift message for the <strong>entire order</strong>","Lisa kingituse sõnum <strong>tervele tellimusele</strong>"
"Add comment to order","Lisa märkus tellimusele"
"Add new comment to shipment","Add new comment to shipment"
"Add new tracking number","Lisa jälgimisnumber"
"Add to Cart","Lisa ostukorvi"
"Address","Aadress"
"Adjustment Fee","Täpsustav tasu"
"Adjustment Fee:","Adjustment Fee:"
"Adjustment Refund","Täpsustav tagasimakse"
"Adjustment Refund:","Adjustment Refund:"
"Allow Reorder","Luba ümbertellimus"
"Amount","Summa"
"Append Comments","Lisa kommentaarid"
"Apply","Rakenda"
"Apply Coupon Code","Rakenda kupongi kood"
"Are you sure you want to cancel this order?","Olete Te kindel, et soovite katkestada seda tellimust?"
"Are you sure?","Olete Te kindel?"
"Are you sure? This order will be cancelled and a new one will be created instead","Are you sure? This order will be cancelled and a new one will be created instead"
"Back to My Orders","Tagasi minu tellimuste juurde"
"Backordered","Backordered"
"Bill to First name","Bill to First name"
"Bill to Last name","Bill to Last name"
"Bill to Name","Maksja nimi"
"Billing Address","Maksja info"
"Buy %s for price %s","Buy %s for price %s"
"Can not add order history.","Can not add order history."
"Can not create block ""%s""","Can not create block ""%s"""
"Can not do invoice for order.","Can not do invoice for order."
"Can not do shipment for order.","Can not do shipment for order."
"Can not register existing creditmemo","Can not register existing creditmemo"
"Can not register existing invoice","Can not register existing invoice"
"Can not register existing shipment","Can not register existing shipment"
"Can't get order instance","Can't get order instance"
"Cancel","Katkesta"
"Cancel invoice","Tühista arve"
